Variable,Category,N,Percent
Respondent Gender,female,105,63.25301204819277
Respondent Gender,male,61,36.74698795180723
Respondent Education,5.0,124,75.15151515151514
Respondent Education,4.0,27,16.363636363636363
Respondent Education,3.0,11,6.666666666666667
Respondent Education,0.0,2,1.2121212121212122
Respondent Education,1.0,1,0.6060606060606061
Respondent Ethnicity,kinh,164,99.39393939393939
Respondent Ethnicity,muong,1,0.6060606060606061
Neighborhood,Thach Ban,26,15.66265060240964
Neighborhood,Cu Khoi,19,11.44578313253012
Neighborhood,Sai Dong,14,8.433734939759036
Neighborhood,Long Bien,12,7.228915662650602
Neighborhood,Tu Dinh,9,5.421686746987952
Neighborhood,Giang Bien,9,5.421686746987952
Neighborhood,Phuc Loi,9,5.421686746987952
Neighborhood,Phuc Dong,9,5.421686746987952
Neighborhood,Thach Cau,7,4.216867469879518
Neighborhood,Viet Hung,7,4.216867469879518
Neighborhood,Co Bi,6,3.614457831325301
Neighborhood,Xuan Do,4,2.4096385542168677
Neighborhood,Dong Du,4,2.4096385542168677
Neighborhood,Khu 918,2,1.2048192771084338
Neighborhood,918,2,1.2048192771084338
Neighborhood,Thatch Ban,2,1.2048192771084338
Neighborhood,Tram,2,1.2048192771084338
Neighborhood,Bat Khoi,1,0.6024096385542169
Neighborhood,"To 9 Dinh, Phuc Loi",1,0.6024096385542169
Neighborhood,Vin Home Ocean Park,1,0.6024096385542169
