Food Group,N Vendors Selling,Percent
spices_cond_bev,119.0,41.901408450704224
cereals,112.0,39.436619718309856
sweets,100.0,35.2112676056338
meat_flesh,77.0,27.11267605633803
veg_darkgreenleafy,70.0,24.647887323943664
oils_fats,67.0,23.591549295774648
legumes_nuts_seeds,56.0,19.718309859154928
fruits_other,55.0,19.366197183098592
fruits_vitamina,54.0,19.014084507042252
veg_other,52.0,18.30985915492958
whiterootsandtubers,48.0,16.901408450704224
veg_vitamina,47.0,16.549295774647888
eggs,47.0,16.549295774647888
milk,45.0,15.845070422535212
meat_organ,33.0,11.619718309859154
fish_seafood,26.0,9.15492957746479
